date,Worldwide,Afghanistan,Albania,Algeria,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Faroe Islands,Finland,France,French Guiana,Georgia,Germany,Gibraltar,Greece,Guernsey,Holy See,Hungary,Iceland,India,Indonesia,International conveyance (Diamond Princess),Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mexico,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saint Barthélemy,Saint Martin,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,The United Kingdom,Togo,Tunisia,Ukraine,United Arab Emirates,United States of America,Viet Nam
11-02-20,43103,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,42708,null,null,null,null,null,null,null,null,null,null,null,1,11,null,null,14,null,null,null,null,null,null,3,null,135,null,null,null,null,3,26,null,null,null,null,null,null,null,18,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,28,null,null,2,null,null,null,null,null,null,45,null,null,null,2,1,1,null,33,8,null,null,null,8,13,15
12-02-20,45171,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,44730,null,null,null,null,null,null,null,null,null,null,null,1,11,null,null,16,null,null,null,null,null,null,3,null,175,null,null,null,null,3,28,null,null,null,null,null,null,null,18,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,28,null,null,2,null,null,null,null,null,null,47,null,null,null,2,1,1,null,33,8,null,null,null,8,13,15
13-02-20,46997,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,46550,null,null,null,null,null,null,null,null,null,null,null,1,11,null,null,16,null,null,null,null,null,null,3,null,174,null,null,null,null,3,29,null,null,null,null,null,null,null,18,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,28,null,null,2,null,null,null,null,null,null,50,null,null,null,2,1,1,null,33,9,null,null,null,8,14,16
14-02-20,49053,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,48548,null,null,null,null,null,null,null,null,null,null,null,1,11,null,null,16,null,null,null,null,null,null,3,null,218,null,null,null,null,3,33,null,null,null,null,null,null,null,19,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,28,null,null,2,null,null,null,null,null,null,58,null,null,null,2,1,1,null,33,9,null,null,null,8,15,16
15-02-20,50580,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,50054,null,null,null,null,null,null,null,null,1,null,null,1,11,null,null,16,null,null,null,null,null,null,3,null,218,null,null,null,null,3,41,null,null,null,null,null,null,null,21,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,28,null,null,2,null,null,null,null,null,null,67,null,null,null,2,1,1,null,34,9,null,null,null,8,15,16
16-02-20,51857,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,51174,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,355,null,null,null,null,3,53,null,null,null,null,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,29,null,null,2,null,null,null,null,null,null,72,null,null,null,2,1,1,null,34,9,null,null,null,8,15,16
17-02-20,71429,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,7,null,70635,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,454,null,null,null,null,3,59,null,null,null,null,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,30,null,null,2,null,null,null,null,null,null,75,null,null,null,2,1,1,null,35,9,null,null,null,9,15,16
18-02-20,73332,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,8,null,72528,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,454,null,null,null,null,3,65,null,null,null,null,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,31,null,null,2,null,null,null,null,null,null,77,null,null,null,2,1,1,null,35,9,null,null,null,9,15,16
19-02-20,75204,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,8,null,74280,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,542,null,null,null,null,3,73,null,null,null,null,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,51,null,null,2,null,null,null,null,null,null,81,null,null,null,2,1,1,null,35,9,null,null,null,9,15,16
20-02-20,75748,null,null,null,null,null,null,15,null,null,null,null,null,1,null,null,null,null,null,1,null,8,null,74675,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,621,2,null,null,null,3,85,null,null,null,null,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,104,null,null,2,null,null,null,null,null,null,84,null,null,null,2,1,1,null,35,9,null,null,null,9,15,16
